Key,Id,English(en),German(de),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans),Russian(ru),Japanese(ja),Portuguese (Brazil)(pt-BR)
mineralOil_N,6.97048E+12,Mineral Oil,Mineralöl,Huile minérale,Aceite mineral,矿物油,Минеральное масло,ミネラルオイル,Óleo mineral
mineralOil_D,7.06344E+12,An oil to hasten one's weapons.  Passive increase to {baseAtkSpeed}% <color=#00e4ff>attack speed</color>.,Ein Öl zur Beschleunigung der Waffen.  Passive Erhöhung auf{baseAtkSpeed}% <color=#00e4ff>Angriffsgeschwindigkeit</color>.,Une huile pour accélérer les armes.  Augmentation passive de{baseAtkSpeed}% <color=#00e4ff>vitesse d'attaque</color>.,Un aceite para acelerar las armas.  Aumento pasivo a{baseAtkSpeed}% <color=#00e4ff>velocidad de ataque</color>.,催动武器的油。  被动增加到{baseAtkSpeed}% <color=#00e4ff>攻击速度</color>。,Масло для ускорения оружия.  Пассивное увеличение{baseAtkSpeed}% <color=#00e4ff>скорость атаки</color>.,武器を早めるためのオイル。  をパッシブで増やす{baseAtkSpeed}% <color=#00e4ff>攻撃速度</color>.,Um óleo para apressar as armas.  Aumento passivo de{baseAtkSpeed}% <color=#00e4ff>velocidade de ataque</color>.
piggyBank_N,7.22391E+12,Piggy Bank,Sparschwein,Tirelire,Hucha,小猪银行,Копилка,ピギーバンク,Cofrinho
piggyBank_D,7.28165E+12,A child's cute piggy bank.  Double your motes of light  till you loose some.,"Ein niedliches Sparschwein für Kinder.  Verdoppeln Sie Ihre Lichtmotive, bis Sie welche verlieren.",Une jolie tirelire pour enfant.  Doublez vos grains de lumière jusqu'à ce que vous en perdiez.,Una simpática hucha para niños.  Duplica tus motas de luz hasta que pierdas alguna.,一个孩子的可爱的储蓄罐。  将你的光斑加倍，直到你失去一些。,"Детская симпатичная копилка.  Удваивайте мотивы света, пока не потеряете несколько.",子どものかわいい貯金箱。  光のモトがなくなるまで、2倍にしてください。,Um cofrinho fofo para crianças.  Dobre seus motes de luz até perder alguns.
pillerOfSalt_N,7.42953E+12,Pillar of Salt,Säule aus Salz,Pilier de sel,Columna de sal,盐之柱,Соляной столб,塩の柱,Pilar de sal
pillerOfSalt_D,7.50633E+12,A reminder to never look back. <color=#00e4ff>Enemy death</color> has a {chance}% chance to shoot out 2 rays of light which deal {damage.amount} damage to every enemy it passes through .,"Eine Mahnung, niemals zurückzuschauen. <color=#00e4ff>Feindlicher Tod</color> hat einen{chance}% Chance, 2 Lichtstrahlen auszusenden, die Folgendes bewirken{damage.amount} Schaden an jedem Feind, den er durchquert.",Un rappel à ne jamais regarder en arrière. <color=#00e4ff>La mort de l'ennemi</color> a une valeur de{chance}% de chances d'émettre 2 rayons de lumière qui infligent{damage.amount} des dégâts à chaque ennemi qu'il traverse.,Un recordatorio para no mirar nunca atrás. <color=#00e4ff>La muerte del enemigo</color> tiene un{chance}de probabilidad de lanzar 2 rayos de luz que infligen{damage.amount} daño a cada enemigo que atraviesa .,提醒大家永远不要回头看。<color=#00e4ff>敌人的死亡</color>有一个{chance}%的几率射出2道光，造成{damage.amount}对它所经过的每个敌人造成伤害。,"Напоминание о том, что никогда нельзя оглядываться назад. <color=#00e4ff>Смерть врага</color> имеет{chance}% шанс выпустить 2 луча света, которые наносят{damage.amount} наносит урон каждому врагу, через которого проходит.",決して振り返ってはいけないという戒め。<color=#00e4ff>敵の死</color>には{chance}2本の光線を放つことができます。{damage.amount}通過するすべての敵にダメージを与える。,Um lembrete para nunca olhar para trás. <color=#00e4ff>A morte do inimigo</color> tem um{chance}% de chance de disparar 2 raios de luz que causam{damage.amount} a cada inimigo que atravessa.
prayerBeads_N,7.58395E+12,Prayer Beads,Gebetsperlen,Perles de prière,Cuentas de oración,祈祷珠,Молитвенные четки,祈祷用ビーズ,Contas de oração
prayerBeads_D,7.64667E+12,Simple prayer beads. {chance}% chance on <color=#00e4ff>juggle</color> to spawn a new ball.,"Einfache Gebetsperlen.{chance}% Chance beim <color=#00e4ff>Jonglieren</color>, einen neuen Ball zu erzeugen.",Perles de prière simples.{chance}% de chances sur <color=#00e4ff>juggle</color> de faire apparaître une nouvelle balle.,Cuentas de oración sencillas.{chance}% de probabilidad en <color=#00e4ff>juggle</color> de generar una nueva bola.,简单的祈祷珠。{chance}在<color=#00e4ff>juggle</color>上有%的机会产生一个新球。,Простые молитвенные четки.{chance}% шанс при <color=#00e4ff>жонглировании</color> породить новый мяч.,シンプルな数珠です。{chance}<color=#00e4ff>juggle</color>のとき、%確率で新しいボールを生成する。,Contas de oração simples.{chance}% de chance em <color=#00e4ff>juggle</color> de gerar uma nova bola.
totemOfSmite_N,7.79514E+12,Totem of Smite.  ,Totem von Smite.  ,Totem de Smite.  ,Tótem de Smite.  ,斯密特的图腾。  ,Тотем поражения.  ,スマイトのトーテム。  ,Totem de Smite.  
totemOfSmite_D,7.83523E+12,"A small memento of faith. Passive increase to {baseDamage}% damage boost, {basePlayerStats.critChance}% critical chance, and {basePlayerStats.nimbusesDamageBoost} disk damage.","Ein kleines Erinnerungsstück an den Glauben. Passive Erhöhung auf{baseDamage}Schadenserhöhung in %,{basePlayerStats.critChance}% kritische Chance, und{basePlayerStats.nimbusesDamageBoost} Bandscheibenschäden.","Un petit souvenir de foi. Augmentation passive à{baseDamage}Augmentation des dégâts en %,{basePlayerStats.critChance}% de chance critique, et{basePlayerStats.nimbusesDamageBoost} endommagement du disque.","Un pequeño recuerdo de fe. Aumento pasivo a{baseDamage}% de aumento de daño,{basePlayerStats.critChance}% de probabilidad crítica, y{basePlayerStats.nimbusesDamageBoost} daños en el disco.",信仰的小纪念品。被动增加到{baseDamage}伤害提升%、{basePlayerStats.critChance}%的关键机会，以及{basePlayerStats.nimbusesDamageBoost}磁盘损坏。,"Маленький сувенир веры. Пассивное увеличение до{baseDamage}Увеличение урона на %,{basePlayerStats.critChance}% критического шанса, и{basePlayerStats.nimbusesDamageBoost} повреждение диска.",信仰の小さな記念品。にパッシブアップ。{baseDamage}ダメージが%アップする、{basePlayerStats.critChance}% クリティカルチャンスであり{basePlayerStats.nimbusesDamageBoost}ディスクの損傷。,"Uma pequena lembrança de fé. Aumento passivo para{baseDamage}% de aumento de dano,{basePlayerStats.critChance}% de chance crítica, e{basePlayerStats.nimbusesDamageBoost} danos ao disco."
YorimasaHeartPeice_N,1.8763E+13,Yorimasa Heart Peice,Yorimasa Herzstück,Pièce de cœur de Yorimasa,Yorimasa Pieza Corazón,赖政的心形碎片,Ёримаса Кусочек сердца,頼政ハートピース,Yorimasa Heart Peice
YorimasaHeartPeice_D,1.88019E+13,"A peice of the dragon slayer's heart.  On wave completion if no disks have been lost, and there are {requiredCount} or more active disks gain 1 additional max hit point and destroy all active disks.","Ein Stück vom Herzen des Drachentöters.  Bei Abschluss der Welle, wenn keine Disketten verloren gegangen sind, und wenn es{requiredCount} oder mehr aktive Scheiben erhalten 1 zusätzlichen maximalen Trefferpunkt und zerstören alle aktiven Scheiben.","Un morceau du cœur du tueur de dragons.  À la fin de la vague, si aucune disquette n'a été perdue et qu'il y a{requiredCount} ou plus gagnent 1 point de vie supplémentaire et détruisent tous les disques actifs.",Un trozo del corazón del matadragones.  Al completar la ola si no se han perdido discos y hay{requiredCount} o más discos activos ganan 1 punto de golpe máximo adicional y destruyen todos los discos activos.,一块屠龙者的心脏。  在波浪完成时，如果没有磁盘丢失，并且有{requiredCount}或更多的活动盘获得1个额外的最大命中点并摧毁所有活动盘。,"Кусочек сердца истребителя драконов.  При завершении волны, если ни один диск не был потерян, и есть{requiredCount} или более активных дисков получают 1 дополнительное максимальное хит-пойнт и уничтожают все активные диски.",ドラゴンスレイヤーの心臓のかけら。  ディスクのロストがなく、波動補完で{requiredCount}以上のアクティブディスクはさらに最大ヒットポイントを1つ獲得し、すべてのアクティブディスクを破壊する。,"Um pedaço do coração do matador de dragões.  Na conclusão da onda, se nenhum disco tiver sido perdido e houver{requiredCount} ou mais discos ativos ganham 1 ponto de vida máximo adicional e destroem todos os discos ativos."
ThreadOfFirmament_N,1.97069E+13,Thread of Firmament,Gewinde des Firmaments,Fil du Firmament,Hilo de Firmamento,苍穹之线,Нить тверди,ファームメントの糸,Fio do Firmamento
ThreadOfFirmament_D,1.97313E+13,A spool of thread weaved with angelic fibers. Passive increase to {basePlayerStats.luck} luck.,"Eine Fadenspule, die mit Engelsfasern gewebt ist. Passive Erhöhung auf{basePlayerStats.luck} Glück.",Une bobine de fil tissé avec des fibres angéliques. Augmentation passive de{basePlayerStats.luck} chance.,Una bobina de hilo tejida con fibras angelicales. Aumento pasivo a{basePlayerStats.luck} suerte.,用天使的纤维织成的线轴。被动增加到{basePlayerStats.luck}运气好。,"Катушка ниток, сплетенных из ангельских волокон. Пассивное увеличение до{basePlayerStats.luck} удача.",天使の繊維で編まれた糸のスプール。をパッシブで増やす{basePlayerStats.luck}の運びとなります。,Um carretel de linha tecida com fibras angelicais. Aumento passivo para{basePlayerStats.luck} sorte.
BitumenCharm_N,2.04842E+13,Bitumen Charm,Bitumen Charm,Bitume Charm,Encanto de betún,沥青的魅力,Битумное очарование,ビチューメンチャーム,Charme do betume
BitumenCharm_D,2.05112E+13,A bauble made of Bitumen. Passive increase to {basePlayerStats.luck} luck and {basePlayerStats.dodge} dodge.,Eine Kugel aus Bitumen. Passive Erhöhung auf{basePlayerStats.luck} Glück und{basePlayerStats.dodge} ausweichen.,Une babiole en bitume. Augmentation passive de{basePlayerStats.luck} la chance et{basePlayerStats.dodge} esquive.,Un adorno hecho de betún. Aumento pasivo a{basePlayerStats.luck} suerte y{basePlayerStats.dodge} Esquiva.,一个由沥青制成的小饰品。被动增加到{basePlayerStats.luck}运气和{basePlayerStats.dodge}躲避。,"Безделушка, сделанная из битума. Пассивное увеличение{basePlayerStats.luck} удача и{basePlayerStats.dodge} уклоняться.",Bitumenで作られたボーブル。をパッシブで増やす。{basePlayerStats.luck}運と{basePlayerStats.dodge}をかわす。,Uma bugiganga feita de betume. Aumento passivo para{basePlayerStats.luck} sorte e{basePlayerStats.dodge} esquiva.
SoilOfNisur_N,2.15979E+13,Soil of Nisur. ,Boden von Nisur.,Sol de Nisur.,Suelo de Nisur.,尼苏尔的土壤。,Почва Нисура.,ニスールの土。,Solo de Nisur.
SoilOfNisur_D,2.16451E+13,Early soil untouched by water. Passive increase to {basePlayerStats.critChance} critical chance and {basePlayerStats.dodge} dodge.,"Frühe Böden, die nicht vom Wasser berührt werden. Passiver Anstieg auf{basePlayerStats.critChance} kritische Chance und{basePlayerStats.dodge} ausweichen.",Sol précoce non touché par l'eau. Augmentation passive de{basePlayerStats.critChance} le hasard critique et{basePlayerStats.dodge} esquive.,Suelo temprano no tocado por el agua. Aumento pasivo a{basePlayerStats.critChance} oportunidad crítica y{basePlayerStats.dodge} Esquiva.,早期土壤未受水的影响。被动增加到{basePlayerStats.critChance}关键机会和{basePlayerStats.dodge}躲避。,"Ранняя почва, не тронутая водой. Пассивное увеличение до{basePlayerStats.critChance} критический шанс и{basePlayerStats.dodge} уклоняться.",水に触れない初期の土。への受動的な増加。{basePlayerStats.critChance}クリティカルチャンスと{basePlayerStats.dodge}をかわす。,Solo inicial não afetado pela água. Aumento passivo para{basePlayerStats.critChance} chance crítica e{basePlayerStats.dodge} esquiva.
DictionnaireInfernal_N,2.33299E+13,Dictionnaire Infernal,Infernalisches Wörterbuch,Dictionnaire Infernal,Diccionario infernal,无间道词典,Инфернальный словарь,インファナル・ディクショナリー,Dicionário Infernal
DictionnaireInfernal_D,2.33654E+13,"The dictionary of demons. Passively gain {basePlayerStats.nimbusesDamageBoost} disk damage, and {basePlayerStats.critChance} critical chance.",Das Wörterbuch der Dämonen. Passiv gewinnen{basePlayerStats.nimbusesDamageBoost} Festplattenschäden und{basePlayerStats.critChance} kritische Chance.,"Le dictionnaire des démons. Gagner passivement{basePlayerStats.nimbusesDamageBoost} endommagement du disque, et{basePlayerStats.critChance} chance critique.","El diccionario de los demonios. Ganar pasivamente{basePlayerStats.nimbusesDamageBoost} daños en el disco, y{basePlayerStats.critChance} oportunidad crítica.",恶魔的字典。被动地获得{basePlayerStats.nimbusesDamageBoost}磁盘损坏，以及{basePlayerStats.critChance}关键的机会。,"Словарь демонов. Пассивно приобретать{basePlayerStats.nimbusesDamageBoost} повреждение диска, и{basePlayerStats.critChance} критический шанс.",鬼門の辞典。受動的に得る{basePlayerStats.nimbusesDamageBoost}ディスクの破損や{basePlayerStats.critChance}クリティカルチャンス,O dicionário de demônios. Ganhar passivamente{basePlayerStats.nimbusesDamageBoost} danos ao disco e{basePlayerStats.critChance} chance crítica.
BookOfEnoch_N,2.38342E+13,Book Of Enoch,Das Buch Henoch,Livre d'Hénoch,Libro de Enoc,以诺书,Книга Еноха,エノク書,Livro de Enoque
BookOfEnoch_D,2.39106E+13,"Sacred text of apocalyptic proportions. Passively gain {basePlayerStats.dodge} dodge, {basePlayerStats.luck} luck, and {basePlayerStats.critChance} critical chance.","Ein heiliger Text von apokalyptischem Ausmaß. Passiv gewinnen{basePlayerStats.dodge} ausweichen,{basePlayerStats.luck} Glück, und{basePlayerStats.critChance} kritische Chance.","Texte sacré aux proportions apocalyptiques. Gagner passivement{basePlayerStats.dodge} esquiver,{basePlayerStats.luck} la chance, et{basePlayerStats.critChance} chance critique.","Texto sagrado de proporciones apocalípticas. Ganar pasivamente{basePlayerStats.dodge} Esquiva,{basePlayerStats.luck} suerte, y{basePlayerStats.critChance} oportunidad crítica.",具有世界末日意义的神圣文本。被动地获得{basePlayerStats.dodge}躲避、{basePlayerStats.luck}运气，以及{basePlayerStats.critChance}关键的机会。,"Священный текст апокалиптического масштаба. Пассивное получение{basePlayerStats.dodge} уклоняться,{basePlayerStats.luck} удача, и{basePlayerStats.critChance} критический шанс.",終末論的な聖典。パッシブゲイン{basePlayerStats.dodge}をかわす、{basePlayerStats.luck}運、そして{basePlayerStats.critChance}クリティカルチャンス,"Texto sagrado de proporções apocalípticas. Ganhar passivamente{basePlayerStats.dodge} esquiva,{basePlayerStats.luck} sorte, e{basePlayerStats.critChance} chance crítica."
NaailsOfTheCenturion_N,3.47503E+13,Nails of the Centurion,Die Nägel des Zenturios,Les ongles du centurion,Los clavos del centurión,百夫长的钉子,Ногти центуриона,百人隊長の爪,Pregos do Centurião
NaailsOfTheCenturion_D,3.50062E+13,Nails from the cross.  {chance}% chance on <color=#00e4ff>weapon hit</color> to splinter nails from your enemy which deal {damage.amount} damage.,"Nägel vom Kreuz.  {chance}% Chance bei <color=#00e4ff>Waffentreffer</color>, dem Gegner Nägel abzusplittern, die eine{damage.amount} Schaden.",Clous de la croix.  {chance}% de chances sur <color=#00e4ff>le coup de l'arme</color> de faire éclater les clous de votre ennemi qui infligent{damage.amount} dommages.,Clavos de la cruz.  {chance}% de probabilidad de <color=#00e4ff>impacto de arma</color> de astillar clavos de tu enemigo que infligen{damage.amount} daños.,钉在十字架上的钉子。  {chance}在<color=#00e4ff>武器击中</color>时，有%的几率从敌人身上劈下钉子，造成{damage.amount}损害。,"Гвозди с креста.  {chance}% шанс при <color=#00e4ff>ударе оружием</color> отколоть от противника гвозди, которые наносят{damage.amount} ущерб.",十字架からのネイル。  {chance}<color=#00e4ff>武器が当たった時、確率で敵の爪を切り裂き、ダメージを与える。{damage.amount}ダメージを与えることができます。,"Pregos da cruz.  {chance}% de chance de, ao <color=#00e4ff>atingir a arma</color>, estilhaçar pregos do seu inimigo que causam{damage.amount} danos."
VileOfIchor_N,3.79075E+14,Vile of Ichor,Das Übel des Ichors,L'infâme de l'ignominie,Vile de Ichor,恶臭,Мерзость ихора,バイル・オブ・イコール,Vileza de Ichor
VileOfIchor_D,3.79146E+14,Demon blood swirls.  Every {requiredCount} <color=#00e4ff>juggles</color> gain {statAtkSpeed}% attack speed for {duration} seconds.,Dämonenblut wirbelt.  Jede{requiredCount} <color=#00e4ff>Juggles</color> gewinnen{statAtkSpeed}% Angriffsgeschwindigkeit für{duration} Sekunden.,Le sang du démon tourbillonne.  Chaque{requiredCount} <color=#00e4ff>jongles</color> gain{statAtkSpeed}% de vitesse d'attaque pour{duration} secondes.,La sangre del demonio se arremolina.  Cada{requiredCount} <color=#00e4ff>juggles</color> gain{statAtkSpeed}% de velocidad de ataque para{duration} segundos.,恶魔的血液在旋转。  每一个{requiredCount}<color=#00e4ff>杂耍</color>收益{statAtkSpeed}％的攻击速度为{duration}秒。,Вихри демонической крови.  Каждый{requiredCount} <color=#00e4ff>жонглеры</color> выигрывают{statAtkSpeed}% скорости атаки для{duration} секунды.,悪魔の血が渦を巻く。  あらゆる{requiredCount}<color=#00e4ff>juggles</color>の獲得。{statAtkSpeed}の攻撃速度が%になる。{duration}の秒数です。,O sangue de demônio gira em redemoinhos.  Cada{requiredCount} <color=#00e4ff>ganho de malabarismos</color>{statAtkSpeed}% de velocidade de ataque para{duration} segundos.
NabonidusCylinder_N,2.18257E+15,Nabonidus Cylinder,Nabonidus-Zylinder,Cylindre de Nabonide,Cilindro de Nabonido,纳波尼杜斯圆柱,Цилиндр Набонида,ナボニドスシリンダー,Cilindro de Nabonido
NabonidusCylinder_D,2.18261E+15,A clay cylinder with inscriptions of a Babylonian king.  5%  increases  to attack speed on juggle.,Ein Tonzylinder mit Inschriften eines babylonischen Königs.  Erhöht die Angriffsgeschwindigkeit beim Jonglieren um 5%.,Cylindre d'argile portant les inscriptions d'un roi babylonien.  Augmentation de 5% de la vitesse d'attaque en jonglant.,Cilindro de arcilla con inscripciones de un rey babilonio.  Aumenta un 5% la velocidad de ataque al hacer malabares.,一个刻有巴比伦国王铭文的粘土圆柱。  变戏法时增加5%的攻击速度。,Глиняный цилиндр с надписями вавилонского царя.  5% увеличение скорости атаки при жонглировании.,バビロニアの王が刻まれた粘土の円筒。  ジャグリング時の攻撃速度が5%上昇する。,Um cilindro de argila com inscrições de um rei da Babilônia.  Aumenta em 5% a velocidade de ataque ao fazer malabarismos.
TitulusCrucisSplinter_N,7.26033E+15,Titulus Crucis Splinter,Titulus Crucis Splitter,Titulus Crucis Splinter,Astilla de Titulus Crucis,提图鲁斯-克鲁斯的碎片,Titulus Crucis Splinter,Titulus Crucis スプリンター,Fragmento do Titulus Crucis
TitulusCrucisSplinter_D,7.26046E+15,A fragment of wood from  the cross.  Every {requiredCount} <color=#00e4ff>juggles</color> shoot a wave of splinters which deal {damage.amount} damage.,"Ein Holzfragment vom Kreuz.  Jede{requiredCount} <color=#00e4ff>Jongleure</color> schießen eine Welle von Splittern ab, die eine{damage.amount} Schaden.",Un fragment de bois de la croix.  Chaque{requiredCount} <color=#00e4ff>jongles</color> tire une vague d'échardes qui infligent{damage.amount} dommages.,Un fragmento de madera de la cruz.  Cada{requiredCount} <color=#00e4ff>juggles</color> dispara una onda de astillas que inflige{damage.amount} daños.,十字架上的一块木头碎片。  每一个{requiredCount}<color=#00e4ff>杂物</color>射出一波碎片，造成{damage.amount}损害。,"Фрагмент дерева с креста.  Каждый{requiredCount} <color=#00e4ff>жонглеры</color> стреляют волной осколков, которые наносят{damage.amount} ущерб.",十字架の木片。  すべての{requiredCount}<color=#00e4ff>juggles</color>は破片の波を放ち、その破片で攻撃する。{damage.amount}ダメージを与えることができます。,Um fragmento de madeira da cruz.  Cada{requiredCount} <color=#00e4ff>juggles</color> disparam uma onda de estilhaços que causam{damage.amount} danos.
AzusaYumiBowstring_N,7.26178E+15,Azusa Yumi Bowstring,Azusa Yumi Bogensehne,Azusa Yumi Bowstring,Cuerda de arco Azusa Yumi,阿苏萨-尤米弓弦,тетива для лука Azusa Yumi,梓弓の弓弦,Corda de arco Azusa Yumi
AzusaYumiBowstring_D,7.26191E+15,Frighten away evil with the twang of this string.  Increase luck by {playerStats.luck}% on each <color=#00e4ff>juggle</color> up to a stack of {maxCount} for the wave.,Verscheuche das Böse mit dem Schwingen dieser Saite.  Erhöhe das Glück durch{playerStats.luck}% auf jedem <color=#00e4ff>Juggle</color> bis zu einem Stapel von{maxCount} für die Welle.,Effrayez le mal avec le son de cette corde.  Augmentez votre chance en{playerStats.luck}% sur chaque <color=#00e4ff>jumeau</color> jusqu'à une pile de{maxCount} pour la vague.,Ahuyenta el mal con el tañido de esta cuerda.  Aumenta la suerte{playerStats.luck}% en cada <color=#00e4ff> malabares</color> hasta una pila de{maxCount} para la ola.,用这根弦的扭动来吓走邪恶。  通过以下方式增加运气{playerStats.luck}%上的每一个<color=#00e4ff>juggle</color>都有一叠的{maxCount}为波。,Отпугните зло звоном этой струны.  Увеличивайте удачу с помощью{playerStats.luck}% на каждом <color=#00e4ff>жонгле</color> до стопки{maxCount} для волны.,この弦の音で邪悪なものを追い払おう。  運気を上げるには{playerStats.luck}のスタックまで、それぞれの<color=#00e4ff>juggle</color>に%表示されます。{maxCount}を波に乗せる。,Afugente o mal com o tilintar dessa corda.  Aumente a sorte com{playerStats.luck}% em cada <color=#00e4ff>juggle</color> até uma pilha de{maxCount} para a onda.
VeilofVeronica_N,7.2707E+15,Veil of Veronica,Der Schleier der Veronika,Voile de Veronica,Velo de Verónica,维罗尼卡的面纱,Вуаль Вероники,ベールオブベロニカ,Véu de Verônica
VeilofVeronica_D,7.27076E+15,A scrap of cloth dripping with wine.  Start each wave with an active <color=#00e4ff>disk guard</color>.,"Ein Stück Stoff, das mit Wein beträufelt ist.  Beginne jede Welle mit einem aktiven <color=#00e4ff>Scheibenwächter</color>.",Un morceau de tissu dégoulinant de vin.  Commencez chaque vague avec un <color=#00e4ff>gardien de disque actif</color>.,Un trozo de tela chorreando vino.  Empieza cada oleada con un <color=#00e4ff>guardia de disco</color> activo.,一块滴着酒的废布。  每一波开始，都有一个活跃的<color=#00e4ff>护盘</color>。,"Клочок ткани, на который капает вино.  Начинайте каждую волну с активным <color=#00e4ff>дисковым стражем</color>.",ワインを滴らせた布切れ。  各ウェーブをアクティブな<color=#00e4ff>ディスクガード</color>で開始する。,Um pedaço de pano pingando vinho.  Comece cada onda com um <color=#00e4ff>guarda-disco</color> ativo.
